id,min_value,max_value,rank_name
1,0,299,G
2,300,599,G+
3,600,899,F
4,900,1299,F+
5,1300,1799,E
6,1800,2299,E+
7,2300,2899,D
8,2900,3499,D+
9,3500,4899,C
10,4900,6499,C+
11,6500,8199,B
12,8200,9999,B+
13,10000,12099,A
14,12100,14499,A+
15,14500,15899,S
16,15900,17499,S+
17,17500,19199,SS
18,19200,19599,SS+
19,19600,19999,UG
20,20000,20399,UG1
21,20400,20799,UG2
22,20800,21199,UG3
23,21200,21599,UG4
24,21600,22099,UG5
25,22100,22499,UG6
26,22500,22999,UG7
27,23000,23399,UG8
28,23400,23899,UG9
29,23900,24299,UF
30,24300,24799,UF1
31,24800,25299,UF2
32,25300,25799,UF3
33,25800,26299,UF4
34,26300,26799,UF5
35,26800,27299,UF6
36,27300,27799,UF7
37,27800,28299,UF8
38,28300,28799,UF9
39,28800,29399,UE
40,29400,29899,UE1
41,29900,30399,UE2
42,30400,30999,UE3
43,31000,31499,UE4
44,31500,32099,UE5
45,32100,32699,UE6
46,32700,33199,UE7
47,33200,33799,UE8
48,33800,34399,UE9
49,34400,34999,UD
50,35000,35599,UD1
51,35600,36199,UD2
52,36200,36799,UD3
53,36800,37499,UD4
54,37500,38099,UD5
55,38100,38699,UD6
56,38700,39399,UD7
57,39400,39999,UD8
58,40000,40699,UD9
59,40700,41299,UC
60,41300,41999,UC1
61,42000,42699,UC2
62,42700,43399,UC3
63,43400,43999,UC4
64,44000,44699,UC5
65,44700,45399,UC6
66,45400,46199,UC7
67,46200,46899,UC8
68,46900,47599,UC9
69,47600,48299,UB
70,48300,48999,UB1
71,49000,49799,UB2
72,49800,50499,UB3
73,50500,51299,UB4
74,51300,51999,UB5
75,52000,52799,UB6
76,52800,53599,UB7
77,53600,54399,UB8
78,54400,55199,UB9
79,55200,55899,UA
80,55900,56699,UA1
81,56700,57499,UA2
82,57500,58399,UA3
83,58400,59199,UA4
84,59200,59999,UA5
85,60000,60799,UA6
86,60800,61699,UA7
87,61700,62499,UA8
88,62500,63399,UA9
89,63400,64199,US
90,64200,65099,US1
91,65100,66399,US2
92,66400,67699,US3
93,67700,68999,US4
94,69000,70299,US5
95,70300,71599,US6
96,71600,72899,US7
97,72900,74399,US8
98,74400,75999,US9
99,76000,76599,LG
100,76600,77199,LG1
101,77200,77799,LG2
102,77800,78499,LG3
