id,region_id,region_select_type,feeling_id,feeling_num,
1,1,1,1,2,
2,1,1,2,2,
3,1,1,3,1,
4,2,1,1,1,
5,2,1,2,2,
6,2,1,3,2,
7,3,1,1,3,
8,3,1,2,1,
9,3,1,3,1,
10,4,1,1,2,
11,4,1,2,3,
12,4,1,3,0,
13,5,1,1,1,
14,5,1,2,1,
15,5,1,3,3,
16,6,2,1,2,
17,6,2,2,0,
18,6,2,3,3,
19,7,2,1,3,
20,7,2,2,2,
21,7,2,3,0,
22,8,2,1,0,
23,8,2,2,3,
24,8,2,3,2,
25,9,2,1,2,
26,9,2,2,1,
27,9,2,3,2,
28,10,2,1,1,
29,10,2,2,3,
30,10,2,3,1,
31,11,3,1,2,
32,11,3,2,2,
33,11,3,3,1,
34,12,3,1,1,
35,12,3,2,2,
36,12,3,3,2,
37,13,3,1,3,
38,13,3,2,1,
39,13,3,3,1,
40,14,3,1,2,
41,14,3,2,3,
42,14,3,3,0,
43,15,3,1,1,
44,15,3,2,1,
45,15,3,3,3,
46,16,3,1,2,
47,16,3,2,0,
48,16,3,3,3,
49,17,3,1,3,
50,17,3,2,2,
51,17,3,3,0,
52,18,3,1,0,
53,18,3,2,3,
54,18,3,3,2,
55,19,3,1,2,
56,19,3,2,1,
57,19,3,3,2,
58,20,3,1,1,
59,20,3,2,3,
60,20,3,3,1,
,,,,,
